(0.0157464386833+0.0148423308003j)
(0.0155146976004+0.0146271701023j)
(0.0152230421119+0.0144870056644j)
(0.0149596299856+0.0144222761625j)
(0.0147443624475+0.0143987166755j)
(0.0144840804027+0.0144017236236j)
(0.014276475447+0.0144273207866j)
(0.0141097725504+0.0144618896641j)
(0.013963176757+0.0145020941477j)
(0.0138697789932+0.0145343645017j)
(0.0138115081602+0.0145568897494j)
(0.0137535945471+0.0145789236386j)
(0.0137005384393+0.0145987935651j)
(0.0136345541486+0.0146218686295j)
(0.0135514817505+0.0146496136425j)
(0.0134848137522+0.0146699545435j)
(0.0134419042346+0.014681792837j)
(0.0134161841266+0.0146880823044j)
(0.0134007480002+0.0146910345951j)
(0.0133899542223+0.0146924612026j)
(0.0133829554923+0.014692411381j)
(0.0133805881428+0.014690868957j)
(0.0133812498064+0.0146878742393j)
(0.0133874519196+0.014683332459j)
(0.0134015562813+0.0146748846276j)
(0.0134280053419+0.0146604249658j)
(0.0134782972601+0.0146368340904j)
(0.013543206113+0.0146058709919j)
(0.013594826105+0.0145806664203j)
(0.0136403054228+0.0145591977825j)
(0.013692242526+0.0145355828125j)
(0.0137376904956+0.0145114658755j)
(0.0138165113978+0.0144760903768j)
(0.0139413838842+0.014430148942j)
(0.0140831367975+0.0143874371715j)
(0.0142595047519+0.0143492002923j)
(0.0144828074145+0.014326870549j)
(0.0146731053491+0.0143308090646j)
(0.0148948937029+0.0143670663961j)
(0.0151465893497+0.0144654015949j)
