(0.0184514173129+2.46342002539j)
(0.0251644966304+2.48415556121j)
(0.00605756470817+2.4903136028j)
(-0.00761521468371+2.50447591625j)
(-0.015870712442+2.52209115271j)
(-0.0210463824004+2.55062042128j)
(-0.0193605905255+2.58175464724j)
(-0.01239617731+2.6135553367j)
(0.000625078619014+2.64925962753j)
(0.0170076920039+2.68147408467j)
(0.0352668265817+2.71066397757j)
(0.0585395758658+2.74374334098j)
(0.0700251561052+2.76433310327j)
(0.0801891866093+2.78535715737j)
(0.0901623713729+2.80910496049j)
(0.0961421336175+2.82587664982j)
(0.0994466996851+2.83605631958j)
(0.101081130251+2.84170468795j)
(0.10193647112+2.84475747804j)
(0.102428123074+2.846709636j)
(0.102640555588+2.84772590924j)
(0.10258298256+2.8477083633j)
(0.102114340254+2.84654953405j)
(0.101391842128+2.84440739972j)
(0.0998816886879+2.83986865724j)
(0.0967421994912+2.83118126843j)
(0.0910547585639+2.81611007237j)
(0.0814306058369+2.79424116068j)
(0.0713398167466+2.77430050632j)
(0.0603016946477+2.75510647911j)
(0.0366017566276+2.72260866873j)
(0.0202620215337+2.69656598334j)
(0.00390292207694+2.66587616481j)
(-0.0093612148077+2.63231862425j)
(-0.0171535032141+2.6020288414j)
(-0.0202154091497+2.57206504139j)
(-0.0169240781749+2.54433841705j)
(-0.0105215599601+2.52663729081j)
(0.00108341178806+2.51169204629j)
(0.0179411100842+2.50314301771j)
