(-0.00925700328327-0.00403712520231j)
(-0.0116353620464-0.00138059687741j)
(-0.0124514013393+0.00163626168906j)
(-0.0116301848975+0.00405186962225j)
(-0.0100347408521+0.0057818793874j)
(-0.006912737802+0.00728650115123j)
(-0.00319005829532+0.00778977835807j)
(0.000823583530015+0.00742049637922j)
(0.00550962399513+0.00608256917942j)
(0.00979518780208+0.0041000516563j)
(0.0140100030643+0.00138728014231j)
(0.018151689888-0.00149853096762j)
(0.0210212598887-0.00317561492457j)
(0.0240590287041-0.00474153604068j)
(0.027626988473-0.00632795173287j)
(0.0303258980422-0.00731691803277j)
(0.0320865256789-0.00785106734719j)
(0.0331807580706-0.00811151752497j)
(0.0338464671305-0.00823413162511j)
(0.0343722597467-0.00829312245769j)
(0.0347792622102-0.00829966825308j)
(0.0350485991295-0.00825320382484j)
(0.0351833731711-0.00814469086721j)
(0.0351911993612-0.00798699216j)
(0.0349970706465-0.0076883071055j)
(0.03440835363-0.00714632469332j)
(0.0331648366393-0.00622720462185j)
(0.0312232937903-0.00486142126383j)
(0.0294139708748-0.00356967088936j)
(0.0276747656058-0.00228500526673j)
(0.0249613188476-0.000104691507388j)
(0.0224675122382+0.00168604596999j)
(0.0197553011294+0.00335258372577j)
(0.0167902470274+0.00481180257452j)
(0.0141190415958+0.00580132865365j)
(0.0114525218813+0.0064282882009j)
(0.00886572744773+0.00661725201249j)
(0.00710164355983+0.00645800926762j)
(0.00534797469+0.00595157174064j)
(0.00374100718815+0.00496666514194j)
