(-9.4038e-06+5.7787e-06j)
(6.9491e-07+2.4021e-05j)
(3.1148e-05+3.4442e-05j)
(6.7952e-05+2.8974e-05j)
(0.00010356+1.177e-05j)
(0.00014942-2.7014e-05j)
(0.00018788-7.7996e-05j)
(0.00021715-0.00013576j)
(0.00023845-0.00020378j)
(0.00024526-0.00026335j)
(-0.00066203+0.00053454j)
(-0.0014857+0.0011898j)
(-0.001452+0.0010844j)
(-0.0014128+0.00098122j)
(-0.0013641+0.00087356j)
(-0.0013256+0.00079846j)
(-0.0013008+0.00075316j)
(-0.0012858+0.00072609j)
(-0.0012772+0.0007104j)
(-0.0012711+0.0006986j)
(-0.0012674+0.00069046j)
(-0.0012663+0.00068591j)
(-0.0012678+0.00068499j)
(-0.0012719+0.00068774j)
(-0.0012821+0.00069788j)
(-0.0013028+0.00072237j)
(-0.001342+0.00077436j)
(-0.0014029+0.00086457j)
(-0.001464+0.00096342j)
(-0.0015318+0.0010792j)
(-0.001317+0.00088071j)
(-0.00049877+0.000108j)
(-0.00038621+9.0152e-05j)
(-0.00031259+0.00010886j)
(-0.00027224+0.00014216j)
(-0.00025005+0.00018398j)
(-0.00024363+0.00022844j)
(-0.00024706+0.00025996j)
(-0.00025864+0.00028976j)
(-0.00027856+0.00031254j)
