(0.0060464-0.0062006j)
(0.0059318-0.0061752j)
(0.0058132-0.0060918j)
(0.0057227-0.0059866j)
(0.0056552-0.0058778j)
(0.0055833-0.005723j)
(0.0055311-0.0055699j)
(0.0054928-0.0054238j)
(0.0054606-0.0052697j)
(0.0054385-0.0051397j)
(0.0054213-0.0050121j)
(0.0054031-0.004888j)
(0.0053884-0.0048112j)
(0.0053712-0.0047319j)
(0.0053496-0.0046445j)
(0.0053325-0.0045822j)
(0.0053217-0.0045451j)
(0.005315-0.0045238j)
(0.0053113-0.0045123j)
(0.0053086-0.0045045j)
(0.005307-0.0045003j)
(0.0053064-0.0044997j)
(0.0053069-0.0045028j)
(0.0053084-0.0045095j)
(0.005312-0.0045245j)
(0.0053192-0.0045535j)
(0.0053319-0.0046057j)
(0.005349-0.0046826j)
(0.0053632-0.004754j)
(0.0053755-0.0048244j)
(0.0053911-0.0049391j)
(0.0054055-0.0050564j)
(0.0054233-0.0051752j)
(0.0054486-0.0053153j)
(0.0054787-0.0054477j)
(0.0055197-0.0055862j)
(0.0055768-0.0057264j)
(0.005631-0.0058255j)
(0.0057048-0.0059225j)
(0.0058036-0.0060017j)
