(2.04283515098e-05+2.86671893311e-05j)
(6.44097401663e-05+2.549584237e-05j)
(0.000110165754687+5.36502667759e-06j)
(0.000148269553312-2.54455273917e-05j)
(0.000178007758144-5.95572117873e-05j)
(0.000211030584256-0.000111524232317j)
(0.000235616811131-0.000164542366139j)
(0.000253757700342-0.000216197462189j)
(0.000268555433754-0.000272053826347j)
(0.00027805964227-0.000320109802275j)
(0.000284555329657-0.000364865493206j)
(0.000290244357834-0.00040876904824j)
(0.000295580614859-0.000439571590021j)
(0.000302229560374-0.000472510083024j)
(0.000311491213798-0.000511516699313j)
(0.000319885820447-0.000541605122663j)
(0.000326307031941-0.000561696036175j)
(0.000330975479506-0.000574714242918j)
(0.000334218563332-0.000582985463458j)
(0.000337223154968-0.000589907951622j)
(0.000340034344311-0.000595664399246j)
(0.000342568619524-0.000600141130265j)
(0.000344861932101-0.000603405694624j)
(0.000346930972117-0.000605427585284j)
(0.000349325318703-0.000606236920536j)
(0.000351741119897-0.000604015649712j)
(0.000353850924846-0.00059611299348j)
(0.000355199126855-0.00058146394862j)
(0.000355698020918-0.000566653568465j)
(0.000355880409404-0.000551691755352j)
(0.000355594535077-0.000527630903186j)
(0.000354874863778-0.000505623513244j)
(0.000354621959542-0.000481543338433j)
(0.000354545073397-0.000454747194455j)
(0.000354252084265-0.000430260511972j)
(0.000353328765306-0.000405333139893j)
(0.000351162347606-0.000380211019857j)
(0.000348405085082-0.000362328022782j)
(0.000343586991182-0.000344096362242j)
(0.000335457123325-0.000326875991294j)
