(-2.93104913886e-05-4.11972462657e-05j)
(-6.40298207006e-05-4.54495374162e-06j)
(-8.57515280052e-05+7.81385537378e-05j)
(-7.10978259674e-05+0.000172716598252j)
(-2.81194520056e-05+0.000264573688833j)
(7.14197851147e-05+0.000386338605203j)
(0.00020495131535+0.000490889389667j)
(0.000360339848086+0.000572645139271j)
(0.0005484466917+0.000632341225328j)
(0.000714349543948+0.000645340492518j)
(-0.0037688816272-0.00412207536494j)
(-0.00336572021264-0.00402213021512j)
(-0.00311132033947-0.0039525850568j)
(-0.00285776058659-0.0038718726226j)
(-0.00258186267233-0.00376858688169j)
(-0.00238658487983-0.00368510175673j)
(-0.00226681220489-0.00363024260323j)
(-0.00219494569519-0.00359648408551j)
(-0.00215279191607-0.00357719338685j)
(-0.0021207078617-0.00356323902286j)
(-0.00209791266021-0.00355476137255j)
(-0.00208479129527-0.00355203375493j)
(-0.00208100574449-0.00355520751568j)
(-0.002087318289-0.00356458982881j)
(-0.00211233036698-0.00358767273307j)
(-0.00217415481883-0.00363502690659j)
(-0.00230630806313-0.00372478070603j)
(-0.0025360615701-0.00386665791653j)
(-0.00279130069492-0.00401533441218j)
(-0.00309623524193-0.00419167495729j)
(-0.00390168697961-0.00472986978519j)
(-0.000365349713255-0.00144014064325j)
(-0.000247151838852-0.00105358197853j)
(-0.000278620870846-0.000831858472268j)
(-0.000359496589694-0.000714760142208j)
(-0.000463336017541-0.000647993364803j)
(-0.000574518879193-0.000622088088144j)
(-0.000652012615182-0.000625510834751j)
(-0.00072583720256-0.000647501469011j)
(-0.000789778057708-0.000688989048284j)
