(-0.0055955332872+0.00545761598031j)
(-0.0056304271867+0.00555502957631j)
(-0.00568868888308+0.00556804879583j)
(-0.00575046148509+0.00559497494093j)
(-0.00580843781546+0.00563532526263j)
(-0.00588396616184+0.00571377985612j)
(-0.00594842152345+0.00580990760955j)
(-0.00599942644681+0.00591833253218j)
(-0.00603861959482+0.00604690814887j)
(-0.00605200675513+0.00615920750468j)
(-0.00292158220644+0.00304448332614j)
(-0.00298490824057+0.00331184541369j)
(-0.00303289683131+0.00347015231947j)
(-0.00308919762849+0.00362433089531j)
(-0.00316097768601+0.00378709317053j)
(-0.0032182711669+0.00389757404615j)
(-0.00325547837215+0.0039626278541j)
(-0.00327818115316+0.00399959809932j)
(-0.00329105562975+0.00402033987232j)
(-0.00330039571068+0.00403488987436j)
(-0.00330616553199+0.00404391592394j)
(-0.00330830738909+0.00404722861605j)
(-0.00330674895004+0.00404493926151j)
(-0.00330157280928+0.00403666980049j)
(-0.00328863095935+0.00401593141271j)
(-0.00326260382365+0.00397216910251j)
(-0.00321640856787+0.00388650379073j)
(-0.00315174945752+0.00374738719264j)
(-0.00309670144386+0.00360409977686j)
(-0.00305000566627+0.00345090084462j)
(-0.00299962237507+0.00316239020825j)
(-0.00667189084287+0.00675873382288j)
(-0.00659748832564+0.00653949827892j)
(-0.00650445655448+0.0063292011189j)
(-0.00640855131569+0.00616516592057j)
(-0.00630028370766+0.00602558785548j)
(-0.00618264640769+0.00591668592589j)
(-0.00609607458824+0.00586025703858j)
(-0.00600606736923+0.00582862747167j)
(-0.00592234860968+0.00581591011591j)
