(-0.000102264792874+5.56752811712e-06j)
(-0.000142189179567+3.82552448345e-05j)
(-0.000172805433771+8.01154907758e-05j)
(-0.000190730687301+0.000118339080526j)
(-0.000200893714883+0.000151328684979j)
(-0.000207996107226+0.000191817817556j)
(-0.000209899833255+0.000225463922683j)
(-0.00020896098824+0.000252531870946j)
(-0.000206338817296+0.000276192652161j)
(-0.000203590348857+0.000292037488153j)
(-0.000201444462796+0.000301924841713j)
(-0.000199263001247+0.000311640360976j)
(-0.000197332022224+0.000320992838707j)
(-0.000195166479441+0.000332784191799j)
(-0.000192773468811+0.000348914275081j)
(-0.000191350900651+0.000363150801416j)
(-0.000190863991731+0.000373605236936j)
(-0.000190916149018+0.000381026133636j)
(-0.000191202908442+0.000386039309454j)
(-0.00019170030178+0.000390559822595j)
(-0.000192402763317+0.000394600859322j)
(-0.00019330775541+0.000398146979914j)
(-0.000194414915431+0.000401239758451j)
(-0.000195725256962+0.000403831259438j)
(-0.000197789800379+0.000406558827431j)
(-0.000200864548149+0.000408788341338j)
(-0.000205298001266+0.000409700707376j)
(-0.000210569561995+0.000408799910452j)
(-0.000214560488745+0.000407207719982j)
(-0.000217787603081+0.000405489348763j)
(-0.000221185613966+0.000403346210798j)
(-0.000224619477143+0.000401066489586j)
(-0.000229879040216+0.00039734114318j)
(-0.000237254268256+0.000391668532042j)
(-0.000245089878679+0.000385092280789j)
(-0.000254030039676+0.000376737186185j)
(-0.00026366779055+0.000366300476444j)
(-0.000270641882267+0.000357391478625j)
(-0.000277703045595+0.000346453534682j)
(-0.000283830924552+0.00033331091628j)
